		(0.10)	(0.13)	(0.21)	(0.19)	(0.10)		(0.11)	(0.11)	(0.11)	(0.12)	(0.12)	(0.12)	(0.10)	(0.11)	(0.099)				(0.12)	(0.10)	(0.20)	(0.14)																							(0.19)
1.period	Period = 1, pre-1750				-0.026																												-0.069	-0.067	-0.073	-0.073	-0.12	-0.053	-0.073	-0.073	-0.054	-0.069	-0.067	-0.047	-0.073	-0.064
					(0.091)																												(0.093)	(0.093)	(0.094)	(0.094)	(0.091)	(0.092)	(0.082)	(0.094)	(0.096)	(0.093)	(0.093)	(0.084)	(0.076)	(0.094)
3.period	Period = 3, 1776-1800				0.14***																												0.15**	0.14*	0.19**	0.19**	0.17**	0.15*	0.19	0.19**	0.15*	0.15**	0.14*	0.064	0.19	0.15**
					(0.051)																												(0.075)	(0.076)	(0.079)	(0.079)	(0.078)	(0.081)	(0.14)	(0.079)	(0.080)	(0.075)	(0.076)	(0.072)	(0.13)	(0.071)
4.period	Period = 4, post-1800				0.12																												0.32*	0.32*	0.45**	0.45**	0.23	0.29	0.45*	0.45**	0.26	0.32*	0.32*	0.32*	0.45**	0.28
					(0.16)																												(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.25)	(0.19)	(0.19)	(0.19)	(0.19)	(0.17)	(0.21)	(0.17)
YEARAF	(mean) YEARAF		0.0035**	0.049																			0.0028	0.0044**	0.0047**	0.0043*	0.0046**	0.0042*	0.0042*	0.0094***	0.0081***	0.0076***														
			(0.0016)	(0.23)																			(0.0017)	(0.0021)	(0.0024)	(0.0022)	(0.0024)	(0.0022)	(0.0022)	(0.0022)	(0.0022)	(0.0024)														
yearsq	yearsq			-0.000013																																										
				(0.000064)																																										
war	(mean) war					0.048																	0.028	0.032	0.024	0.023	0.023	0.020	0.020	0.042	0.026	0.024	0.0012	0.0050	0.052	0.052	0.036	0.071	0.052	0.052	0.066	0.0012	0.0050	0.025	0.052	0.027
						(0.056)																	(0.058)	(0.060)	(0.062)	(0.062)	(0.062)	(0.062)	(0.062)	(0.059)	(0.058)	(0.060)	(0.064)	(0.064)	(0.067)	(0.067)	(0.065)	(0.068)	(0.060)	(0.067)	(0.068)	(0.064)	(0.064)	(0.060)	(0.057)	(0.063)
neutral	(mean) neutral					0.10*																	0.076	0.070	0.049	0.054	0.040	0.046	0.046	-0.0044	-0.0035	-0.014	-0.021	-0.018	-0.0064	-0.0064	0.013	0.036	-0.0064	-0.0064	0.0051	-0.021	-0.018	0.057	-0.0064	0.053
						(0.053)																	(0.055)	(0.059)	(0.061)	(0.060)	(0.061)	(0.060)	(0.060)	(0.057)	(0.056)	(0.061)	(0.071)	(0.071)	(0.072)	(0.072)	(0.070)	(0.073)	(0.086)	(0.072)	(0.074)	(0.071)	(0.071)	(0.065)	(0.082)	(0.069)
pricemarkup	(mean) pricemarkup						0.010																	0.035	0.028	0.033	0.025	0.031	0.031	0.046*	0.040	0.042	0.013	0.014	-0.0044	-0.0044	0.00078		-0.0044	-0.0044	-0.0056	0.013	0.014	-0.018	-0.0044	
							(0.020)																	(0.025)	(0.027)	(0.027)	(0.027)	(0.027)	(0.027)	(0.026)	(0.025)	(0.026)	(0.024)	(0.024)	(0.025)	(0.025)	(0.024)		(0.024)	(0.025)	(0.026)	(0.024)	(0.024)	(0.023)	(0.022)	
captain_experience_d	Not the first voyage of the captain							-0.0019																				0.015	0.015	0.016	0.018	0.024	0.024	0.023	0.015	0.015	0.018	0.030	0.015	0.015	0.030	0.024	0.023	0.0041	0.015	
								(0.047)																				(0.048)	(0.048)	(0.046)	(0.045)	(0.048)	(0.049)	(0.049)	(0.052)	(0.052)	(0.050)	(0.053)	(0.050)	(0.052)	(0.053)	(0.049)	(0.049)	(0.046)	(0.047)	
captain_experience	(min) captain_experience								0.0027																		0.0028																			
									(0.0093)																		(0.0093)																			
captain_total_career	(mean) captain_total_career									0.0058																																				
										(0.0059)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.056															0.047		0.050	0.050	0.092	0.044	0.064	0.066	0.068	0.048	0.048	0.063	0.064	0.048	0.048	0.032	0.066	0.068	0.017	0.048	
											(0.064)															(0.064)		(0.064)	(0.064)	(0.061)	(0.060)	(0.066)	(0.067)	(0.068)	(0.070)	(0.070)	(0.068)	(0.070)	(0.064)	(0.070)	(0.072)	(0.067)	(0.068)	(0.063)	(0.060)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00040													-0.00068		-0.00076																			
												(0.0011)													(0.0013)		(0.0012)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.00085																																	
													(0.0010)																																	
1.perspective	Perspective of source = 1, Captain													-0.50																																
														(0.35)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.19)																																
4.perspective	Perspective of source = 4, Owner													0.33																																
														(0.46)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.15***															0.032	0.044	0.067	0.070				0.73***					0.070				
															(0.052)															(0.055)	(0.053)	(0.065)	(0.068)				(0.19)					(0.068)				
MORTALITY	Enslaved person mortality rate															-1.13***			-1.22***												-1.14***	-1.19***	-1.21***	-1.22***	-1.22***	-1.22***	-1.30***		-1.22***	-1.22***	-1.12***	-1.21***	-1.22***	-1.23***	-1.22***	
																(0.28)			(0.29)												(0.27)	(0.29)	(0.30)	(0.30)	(0.30)	(0.30)	(0.29)		(0.27)	(0.30)	(0.31)	(0.30)	(0.30)	(0.27)	(0.25)	
crowd	(mean) crowd																0.072	0.072	0.065													-0.028	-0.050	-0.0076	-0.015	-0.015	-0.14		-0.015	-0.015	0.090*	-0.050	-0.0076	-0.032	-0.015	
																	(0.046)	(0.046)	(0.045)													(0.058)	(0.057)	(0.052)	(0.054)	(0.054)	(0.088)		(0.084)	(0.054)	(0.049)	(0.057)	(0.052)	(0.049)	(0.063)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.059															-0.088	-0.088	-0.66***	-0.19	-0.088	-0.088	-0.18***			-0.0064	-0.088	-0.13***
																				(0.042)															(0.058)	(0.058)	(0.13)	(0.13)	(0.13)	(0.058)	(0.054)			(0.053)	(0.11)	(0.047)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.065***									-0.088***	-0.089***	-0.090***	-0.090***	-0.095***	-0.096***	-0.096***	0.074*		-0.096	-0.096***		-0.090***	-0.095***	-0.088***	-0.096**	
																					(0.014)									(0.017)	(0.016)	(0.018)	(0.019)	(0.019)	(0.024)	(0.024)	(0.043)		(0.075)	(0.024)		(0.019)	(0.019)	(0.022)	(0.046)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					0.016																								
																						(0.058)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.051																								
																						(0.067)																								
TONMOD	(mean) TONMOD																																	0.00035			0.00020	0.00057					0.00035			
																																		(0.00036)			(0.00062)	(0.00072)					(0.00036)			
totalnetexpperton	totalnetexpperton																																					-0.000028								
																																						(0.000040)								
Constant	Constant	0.079***	-6.10**	-46.0	0.045	0.051	0.043	0.077*	0.069*	0.037	0.030	0.072**	0.056	-0.13	-0.73**	0.24***	-0.033	-0.033	0.15*	0.85	0.24***	0.071	-4.82	-7.93**	-8.44**	-7.68*	-8.23*	-7.47*	-7.47*	-16.8***	-14.3***	-13.5***	-0.0020	0.26	1.57**	1.57**	4.90***	2.39	1.57	1.57**	2.42***	-0.0020	0.26	0.60	1.57	1.71***
		(0.028)	(2.87)	(202)	(0.032)	(0.035)	(0.077)	(0.045)	(0.037)	(0.049)	(0.060)	(0.031)	(0.038)	(0.19)	(0.29)	(0.048)	(0.076)	(0.076)	(0.084)	(0.56)	(0.043)	(0.052)	(3.03)	(3.78)	(4.21)	(3.91)	(4.20)	(3.90)	(3.90)	(3.94)	(3.86)	(4.26)	(0.37)	(0.18)	(0.73)	(0.73)	(1.00)	(1.55)	(1.51)	(0.73)	(0.72)	(0.37)	(0.18)	(0.67)	(1.32)	(0.61)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.062	0.073	0.073	0.080	0.071	0.002	0.066	0.066	0.069	0.043	0.041	0.043	0.078	0.089	0.111	0.010	0.010	0.061	0.069	0.119	0.018	0.078	0.030	0.025	0.026	0.024	0.025	0.025	0.124	0.167	0.158	0.147	0.147	0.163	0.163	0.232	0.075	0.163	0.163	0.116	0.147	0.147	0.139	0.163	0.104
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
