		(0.11)	(0.14)	(0.22)	(0.20)	(0.11)		(0.11)	(0.11)	(0.12)	(0.13)	(0.13)	(0.13)	(0.11)	(0.11)	(0.10)				(0.12)	(0.11)	(0.21)	(0.14)																							(0.20)
1.period	Period = 1, pre-1750				-0.025																												-0.072	-0.069	-0.075	-0.075	-0.11	-0.059	-0.075	-0.075	-0.057	-0.072	-0.069	-0.051	-0.075	-0.072
					(0.096)																												(0.093)	(0.093)	(0.094)	(0.094)	(0.091)	(0.092)	(0.084)	(0.094)	(0.096)	(0.093)	(0.093)	(0.084)	(0.078)	(0.099)
3.period	Period = 3, 1776-1800				0.18***																												0.14*	0.13*	0.17**	0.17**	0.16**	0.14*	0.17	0.17**	0.14*	0.14*	0.13*	0.053	0.17	0.19**
					(0.054)																												(0.075)	(0.077)	(0.079)	(0.079)	(0.079)	(0.081)	(0.14)	(0.079)	(0.080)	(0.075)	(0.077)	(0.072)	(0.13)	(0.075)
4.period	Period = 4, post-1800				0.095																												0.31	0.31	0.43**	0.43**	0.22	0.28	0.43*	0.43**	0.24	0.31	0.31	0.30*	0.43**	0.26
					(0.17)																												(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.25)	(0.19)	(0.19)	(0.19)	(0.19)	(0.17)	(0.20)	(0.18)
YEARAF	(mean) YEARAF		0.0044**	-0.0087																			0.0034*	0.0058***	0.0068***	0.0055**	0.0067***	0.0054**	0.0054**	0.011***	0.0093***	0.0075***														
			(0.0017)	(0.24)																			(0.0018)	(0.0022)	(0.0025)	(0.0023)	(0.0025)	(0.0023)	(0.0023)	(0.0023)	(0.0023)	(0.0024)														
yearsq	yearsq			3.7e-06																																										
				(0.000068)																																										
war	(mean) war					0.042																	0.018	0.0030	-0.00045	-0.0028	-0.0013	-0.0056	-0.0056	0.026	0.011	0.0089	-0.011	-0.0074	0.040	0.040	0.026	0.056	0.040	0.040	0.050	-0.011	-0.0074	0.011	0.040	0.014
						(0.060)																	(0.061)	(0.063)	(0.064)	(0.065)	(0.064)	(0.065)	(0.065)	(0.062)	(0.060)	(0.060)	(0.065)	(0.064)	(0.067)	(0.067)	(0.065)	(0.068)	(0.061)	(0.067)	(0.069)	(0.065)	(0.064)	(0.060)	(0.058)	(0.067)
neutral	(mean) neutral					0.15***																	0.12**	0.098	0.073	0.084	0.065	0.076	0.076	0.023	0.022	-0.029	-0.032	-0.030	-0.017	-0.017	0.0016	0.021	-0.017	-0.017	-0.0056	-0.032	-0.030	0.046	-0.017	0.079
						(0.056)																	(0.059)	(0.062)	(0.064)	(0.063)	(0.064)	(0.063)	(0.063)	(0.060)	(0.058)	(0.061)	(0.071)	(0.071)	(0.072)	(0.072)	(0.071)	(0.073)	(0.087)	(0.072)	(0.074)	(0.071)	(0.071)	(0.066)	(0.082)	(0.073)
pricemarkup	(mean) pricemarkup						0.011																	0.044*	0.033	0.040	0.029	0.038	0.038	0.054**	0.047*	0.042	0.013	0.013	-0.0044	-0.0044	0.00059		-0.0044	-0.0044	-0.0055	0.013	0.013	-0.018	-0.0044	
							(0.021)																	(0.026)	(0.028)	(0.028)	(0.028)	(0.028)	(0.028)	(0.027)	(0.026)	(0.027)	(0.024)	(0.024)	(0.025)	(0.025)	(0.024)		(0.024)	(0.025)	(0.026)	(0.024)	(0.024)	(0.023)	(0.022)	
captain_experience_d	Not the first voyage of the captain							-0.014																				0.0097	0.0097	0.013	0.013	0.033	0.033	0.032	0.023	0.023	0.025	0.038	0.023	0.023	0.038	0.033	0.032	0.012	0.023	
								(0.050)																				(0.050)	(0.050)	(0.048)	(0.047)	(0.049)	(0.049)	(0.049)	(0.052)	(0.052)	(0.050)	(0.054)	(0.049)	(0.052)	(0.053)	(0.049)	(0.049)	(0.047)	(0.047)	
captain_experience	(min) captain_experience								-0.00051																		-0.00047																			
									(0.0098)																		(0.0097)																			
captain_total_career	(mean) captain_total_career									0.0030																																				
										(0.0063)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.056															0.040		0.045	0.045	0.094	0.044	0.072	0.074	0.075	0.056	0.056	0.067	0.073	0.056	0.056	0.042	0.074	0.075	0.026	0.056	
											(0.068)															(0.067)		(0.067)	(0.067)	(0.064)	(0.063)	(0.066)	(0.068)	(0.068)	(0.071)	(0.071)	(0.068)	(0.070)	(0.062)	(0.071)	(0.072)	(0.068)	(0.068)	(0.064)	(0.059)	
OUTFITTER_experience	(min) OUTFITTER_experience											-0.00018													-0.0018		-0.0018																			
												(0.0012)													(0.0013)		(0.0013)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.00023																																	
													(0.0011)																																	
1.perspective	Perspective of source = 1, Captain													-0.58																																
														(0.37)																																
3.perspective	Perspective of source = 3, Investor													0.30																																
														(0.20)																																
4.perspective	Perspective of source = 4, Owner													0.25																																
														(0.49)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.13**															0.019	0.030	0.054	0.058				0.68***					0.058				
															(0.054)															(0.056)	(0.055)	(0.065)	(0.067)				(0.19)					(0.067)				
MORTALITY	Enslaved person mortality rate															-1.12***			-1.22***												-1.10***	-1.19***	-1.21***	-1.22***	-1.23***	-1.23***	-1.30***		-1.23***	-1.23***	-1.13***	-1.21***	-1.22***	-1.24***	-1.23***	
																(0.29)			(0.29)												(0.28)	(0.29)	(0.30)	(0.30)	(0.30)	(0.30)	(0.29)		(0.27)	(0.30)	(0.31)	(0.30)	(0.30)	(0.27)	(0.26)	
crowd	(mean) crowd																0.065	0.065	0.057													-0.025	-0.048	-0.013	-0.019	-0.019	-0.14		-0.019	-0.019	0.083*	-0.048	-0.013	-0.035	-0.019	
																	(0.046)	(0.046)	(0.044)													(0.058)	(0.058)	(0.052)	(0.055)	(0.055)	(0.089)		(0.083)	(0.055)	(0.049)	(0.058)	(0.052)	(0.049)	(0.062)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.054															-0.087	-0.087	-0.62***	-0.18	-0.087	-0.087	-0.18***			-0.0085	-0.087	-0.13***
																				(0.044)															(0.057)	(0.057)	(0.13)	(0.13)	(0.13)	(0.057)	(0.053)			(0.052)	(0.11)	(0.049)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.061***									-0.089***	-0.089***	-0.089***	-0.088***	-0.092***	-0.094***	-0.094***	0.063		-0.094	-0.094***		-0.088***	-0.092***	-0.085***	-0.094**	
																					(0.015)									(0.017)	(0.017)	(0.018)	(0.020)	(0.019)	(0.024)	(0.024)	(0.043)		(0.075)	(0.024)		(0.020)	(0.019)	(0.022)	(0.045)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.014																								
																						(0.059)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.044																								
																						(0.068)																								
TONMOD	(mean) TONMOD																																	0.00028			0.00016	0.00052					0.00028			
																																		(0.00036)			(0.00063)	(0.00072)					(0.00036)			
totalnetexpperton	totalnetexpperton																																					-0.000026								
																																						(0.000040)								
Constant	Constant	0.099***	-7.76**	3.83	0.056*	0.067*	0.058	0.10**	0.094**	0.073	0.046	0.095***	0.088**	-0.20	-0.61**	0.26***	-0.0047	-0.0047	0.18**	0.82	0.24***	0.11**	-6.01*	-10.3***	-12.0***	-9.84**	-11.8***	-9.58**	-9.58**	-18.7***	-16.3***	-13.2***	0.066	0.29	1.57**	1.57**	4.62***	2.36	1.57	1.57**	2.41***	0.066	0.29	0.64	1.57	1.77***
		(0.030)	(3.04)	(214)	(0.034)	(0.037)	(0.081)	(0.047)	(0.039)	(0.052)	(0.064)	(0.033)	(0.041)	(0.20)	(0.30)	(0.050)	(0.076)	(0.076)	(0.084)	(0.59)	(0.046)	(0.053)	(3.20)	(3.96)	(4.40)	(4.09)	(4.37)	(4.07)	(4.07)	(4.10)	(4.02)	(4.27)	(0.37)	(0.18)	(0.73)	(0.73)	(0.99)	(1.55)	(1.46)	(0.73)	(0.71)	(0.37)	(0.18)	(0.66)	(1.27)	(0.64)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.122	0.137	0.137	0.148	0.138	0.023	0.127	0.127	0.128	0.092	0.091	0.091	0.144	0.151	0.177	0.009	0.009	0.062	0.129	0.174	0.050	0.146	0.064	0.061	0.057	0.064	0.060	0.060	0.139	0.179	0.151	0.140	0.139	0.156	0.156	0.216	0.069	0.156	0.156	0.112	0.140	0.139	0.134	0.156	0.172
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
