ventureid,typeofventure,retranscriber,perspectiveofsource,nationality,source,dateofprimarysource_str,nameoftheship,nameofthecaptain,nameofinvestor,nameofoutfitter,numberofvoyages,internalcrossref,voyageidintstd,placeofoutfitting,placeofpurchase,placeofdisembarkation,datedepartureportofoutfitt_str,datetradebeganinafrica_str,dateofdeparturefromafrica_str,datevesselarrivedwithenslave_str,datereturnportofoutfitting_str,numberofenslavedpurchased,numberofenslavedsold,shareoftheship,completedataonoutlays,completedataonreturns,profitsreportedinsource,FATEcol,variousremarks,length_in_days,departurefromportofoutfitt,dateofdeparturefromportofoutfitt,primarysource,dateofprimarysource,tradebeganinafrica,datetradebeganinafrica,departurefromafrica,dateofdeparturefromafrica,vesselarrivedwithenslave,datevesselarrivedwithenslave,returntoportofoutfitting,dateofreturntoportofoutfitting,yearofdeparturefromportofoutfit,yearofprimarysource,yeartradebeganinafrica,yearofdeparturefromafrica,yearvesselarrivedwithslaves,yearofreturntoportofoutfitting,yearmin,YEARAF_own,VOYAGEID
DR011,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 126,,Frodsham,,"Torre, Nicholas",,1,,24918,,Angola,,,,,,,,,.17,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,24918
DR012,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 124,,York,,"Torre, Nicholas",,2,,90468 / 90470,,Angola,,,,,,,,,.25,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90468 / 90470
DR013,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,Hardman,,"Torre, Nicholas",,1,,90150,,Africa,,,,,,,,,.17,with estimates,yes,,,,,,,,,,,,,,,,,,,,,,,,,90150
DR014,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,York,,"Torre, Nicholas",,1,,90469,,Angola,,,,,,,,,.25,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90469
DR015,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1788/17",,Ruby,,"Rogers, James",,1,,18029,,,,1788,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1788,,,,,,,,,,,1788,,,,,,1788,1789,18029
DR016,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/13",,Flora,,"Rogers, James",,1,,18070,,,,1790,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1790,,,,,,,,,,,1790,,,,,,1790,1791,18070
DR017,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/8",,Daniel,,"Rogers, James",,1,,18066,,,,1790,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1790,,,,,,,,,,,1790,,,,,,1790,1791,18066
DR018,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/8",,Daniel,,"Rogers, James",,1,,18096,,,,1791,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1791,,,,,,,,,,,1791,,,,,,1791,1792,18096
DR019,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/22",,Pearl,,"Rogers, James",,1,,18002,,,,1787,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1787,,,,,,,,,,,1787,,,,,,1787,1788,18002
DR020,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/24",,Rodney,,"Rogers, James",,1,,83366,,,,1790,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1790,,,,,,,,,,,1790,,,,,,1790,1791,83366
DR021,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1789/9",,Crescent,,"Rogers, James",,1,,18040,,,,1789,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1789,,,,,,,,,,,1789,,,,,,1789,1790,18040
DR022,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1789/23 and 1789/19",,Sarah / Nimble,,"Rogers, James",,2,,18054/,,,,1789,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1789,,,,,,,,,,,1789,,,,,,1789,1790,18054/
DR023,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1784/12",,Sally,,"Rogers, James",,1,,17942,,,,1784,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1784,,,,,,,,,,,1784,,,,,,1784,1785,17942
DR024,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/14",,Sally,,"Rogers, James",,1,,17929,,,,1783,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1783,,,,,,,,,,,1783,,,,,,1783,1784,17929
DR025,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/11",,Little Pearl / Pearl,,"Rogers, James",,2,,17924 / 17926,,,,1783,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1783,,,,,,,,,,,1783,,,,,,1783,1784,17924 / 17926
DR026,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/26",,Ruby,,"Rogers, James",,1,,18006,,,,1787,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1787,,,,,,,,,,,1787,,,,,,1787,1788,18006
DR027,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/17",,Juba,,"Rogers, James",,1,,17997,,,,1787,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1787,,,,,,,,,,,1787,,,,,,1787,1788,17997
DR028,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1746/7",,Jason,,,,1,,17157,,,,1746,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1746,,,,,,,,,,,1746,,,,,,1746,1747,17157
DR029,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/13",,Jason,,,,1,,17207,,,,1748,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1748,,,,,,,,,,,1748,,,,,,1748,1749,17207
DR030,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1750/13",,Jason,,,,1,,17268,,,,1750,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1750,,,,,,,,,,,1750,,,,,,1750,1751,17268
DR031,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Bridgett,,,,1,,16613,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,16613
DR032,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Bridgett,,,,1,,16713,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,16713
DR033,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Dreadnought,,,,1,,16618,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,16618
DR034,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16641,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,16641
DR035,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16690,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,16690
DR036,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16770,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,16770
DR037,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16834,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,16834
DR038,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,1,,16867,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,16867
DR039,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1751/19",,Molly,,,,1,,17296,,,,1751,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1751,,,,,,,,,,,1751,,,,,,1751,1752,17296
DR040,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1752/19",,Molly,,,,1,,17323,,,,1752,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1752,,,,,,,,,,,1752,,,,,,1752,1753,17323
DR041,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1754/7",,Emperor,,,,1,,17363,,,,1754,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1754,,,,,,,,,,,1754,,,,,,1754,1755,17363
DR042,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1759/24",,Swift,,,,1,,17470,,,,1759,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1759,,,,,,,,,,,1759,,,,,,1759,1760,17470
DR043,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1770/12",,Hector,,,,1,,17753,,,,1770,,,,,,,1,with estimates,with estimates,,,"No data on insurance, no residual value of ship on return",,,01jul1770,,,,,,,,,,,1770,,,,,,1770,1771,17753
DR044,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1771/11",,Hector,,,,1,,17780,,,,1771,,,,,,,1,with estimates,with estimates,,,"No data on insurance, no ship value out or in",,,01jul1771,,,,,,,,,,,1771,,,,,,1771,1772,17780
DR045,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1773/13",,Ambris / Hector,,,,2,,17825 / 17836,,,,1773,,,,,,,1,with estimates,with estimates,,,"No data on insurance, no ship value out or in",,,01jul1773,,,,,,,,,,,1773,,,,,,1773,1774,17825 / 17836
DR046,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/1",,Africa,,,,1,,17846,,,,1774,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1774,,,,,,,,,,,1774,,,,,,1774,1775,17846
DR047,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1776/1",,Africa,,,,1,,,,,,1776,,,,,,,1,with estimates,yes,,3,Insurance rates imputed from previous research on insurance rates,,,01jul1776,,,,,,,,,,,1776,,,,,,1776,1777,
DR048,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/12",,Jason,,,,1,,17857,,,,1774,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1774,,,,,,,,,,,1774,,,,,,1774,1775,17857
DR049,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/14",,King George,,,,1,,17859,,,,1774,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,01jul1774,,,,,,,,,,,1774,,,,,,1774,1775,17859
DR050,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Priscilla,,"Goad, John",,1,,90211,,,,,,,,,,,.0625,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,,,90211
DR051,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Priscilla,,"Goad, John",,1,,,,,,1751-09,,,,,,,.0625,no,no,,4,"No insurance costs, no return estimates",,9,01sep1751,,,,,,,,,,,1751,,,,,,1751,1752,
DR052,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Sea Nymph,,"Goad, John",,1,,90624,,,,,,,,,,,.0625,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.,,,,,,,,,,,,,,,,,,,,,,90624
DR053,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,90342,,,,,,,,,,,.0625,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.,,,,,,,,,,,,,,,,,,,,,,90342
DR054,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Barclay,,"Goad, John",,1,,90447,,,,,,,,,,,.03125,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.,,,,,,,,,,,,,,,,,,,,,,90447
DR055,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90565,,,,,,,,,,,.042,with estimates,with estimates,,,Value of ship imputed from value of cargo.,,,,,,,,,,,,,,,,,,,,,,90565
DR056,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90566,,,,,,,,,,,.042,with estimates,with estimates,,,Value of ship imputed from previous voyage,,,,,,,,,,,,,,,,,,,,,,90566
DR057,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90567,,,,,,,,,,,.042,with estimates,yes,,,Value of ship imputed from previous voyage,,,,,,,,,,,,,,,,,,,,,,90567
DR058,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90687,,,,,,,,,,,.17,with estimates,with estimates,,,Value of ship imputed from previous voyage,,,,,,,,,,,,,,,,,,,,,,90687
DR059,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90688,,,,,,,,,,,.17,with estimates,yes,,,,,,,,,,,,,,,,,,,,,,,,,90688
DR060,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90792,,,,,,,,,,,.17,with estimates,yes,,,Value of ship imputed from previous voyage,,,,,,,,,,,,,,,,,,,,,,90792
DR061,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Snapper,,"Goad, John",,1,,90793,,,,,,,,,,,.17,with estimates,yes,,,Value of ship imputed from previous voyage,,,,,,,,,,,,,,,,,,,,,,90793
DR062,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Rose,,"Goad, John",,1,,90747,,,,,,,,,,,.042,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.,,,,,,,,,,,,,,,,,,,,,,90747
DR063,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,,,,,1758,,,,,,,.0625,yes,yes,,1,"Cannot find matching entry in TSTD. Year has been assumed, based on the dating of the following voyage.",,,01jul1758,,,,,,,,,,,1758,,,,,,1758,1759,
DR064,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,90763,,,,,,,,,,,.0625,with estimates,with estimates,,,,,,,,,,,,,,,,,,,,,,,,,90763
DR065,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,True Blue,,"Goad, John",,1,,90764,,,,,,,,,,,.0625,with estimates,yes,,,Value of ship imputed from residual after voyage,,,,,,,,,,,,,,,,,,,,,,90764
DR066,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Essex,,"Goad, John",,1,,90813,,,,,,,,,,,.083,with estimates,yes,,,Value of ship imputed from residual after voyage,,,,,,,,,,,,,,,,,,,,,,90813
DR067,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Essex,,"Goad, John",,1,,90814,,,,,,,,,,,.083,with estimates,yes,,,Value of ship imputed from previous voyage,,,,,,,,,,,,,,,,,,,,,,90814
DR068,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Apollo,,,,1,,91112,,,,1764-08-07,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.,,8,07aug1764,,,,,,,,,,,1764,,,,,,1764,1765,91112
DR069,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Nelly and Nancy,,,,1,,91145,,,,,,,,,,,1,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Ship in imputed from residual value of ship.,,,,,,,,,,,,,,,,,,,,,,91145
DR070,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Captain,,"Goad, John",,1,,91014,,,,,,,,,,,1,with estimates,with estimates,,,,,,,,,,,,,,,,,,,,,,,,,91014
DR071,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91130,,,,1766,,,,,,,1,yes,yes,,,,,,01jul1766,,,,,,,,,,,1766,,,,,,1766,1767,91130
DR072,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91131,,,,1769,,,,,,,1,yes,yes,,,,,,01jul1769,,,,,,,,,,,1769,,,,,,1769,1770,91131
DR073,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91592,,,,1770,,,,,,,1,yes,yes,,,,,,01jul1770,,,,,,,,,,,1770,,,,,,1770,1771,91592
DR074,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,,,,,1770,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD,,,01jul1770,,,,,,,,,,,1770,,,,,,1770,1771,
DR075,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91593,,,,1771,,,,,,,1,yes,yes,,,,,,01jul1771,,,,,,,,,,,1771,,,,,,1771,1772,91593
DR076,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,,,,,1771,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD,,,01jul1771,,,,,,,,,,,1771,,,,,,1771,1772,
DR077,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91134,,,,1764,,,,,,,1,yes,yes,,,,,,01jul1764,,,,,,,,,,,1764,,,,,,1764,1765,91134
DR078,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91135,,,,1766,,,,,,,1,yes,yes,,,,,,01jul1766,,,,,,,,,,,1766,,,,,,1766,1767,91135
DR079,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Blackjoke,,,,1,,91299,,,,1767,,,,,,,1,yes,yes,,,,,,01jul1767,,,,,,,,,,,1767,,,,,,1767,1768,91299
DR080,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1763,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD,,,01jul1763,,,,,,,,,,,1763,,,,,,1763,1764,
DR081,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1764,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD,,,01jul1764,,,,,,,,,,,1764,,,,,,1764,1765,
DR082,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,,,,,1762,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD,,,01jul1762,,,,,,,,,,,1762,,,,,,1762,1763,
DR083,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91186,,,,1766,,,,,,,1,yes,yes,,,,,,01jul1766,,,,,,,,,,,1766,,,,,,1766,1767,91186
DR084,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91187,,,,1768,,,,,,,1,yes,yes,,,,,,01jul1768,,,,,,,,,,,1768,,,,,,1768,1769,91187
DR085,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,,,,,1768,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD,,,01jul1768,,,,,,,,,,,1768,,,,,,1768,1769,
DR086,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91188,,,,1769,,,,,,,1,yes,yes,,,,,,01jul1769,,,,,,,,,,,1769,,,,,,1769,1770,91188
DR087,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91189,,,,1770,,,,,,,1,yes,yes,,,,,,01jul1770,,,,,,,,,,,1770,,,,,,1770,1771,91189
DR088,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,90853,,,,1762,,,,,,,1,yes,yes,,,,,,01jul1762,,,,,,,,,,,1762,,,,,,1762,1763,90853
DR089,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,90854,,,,1763,,,,,,,1,yes,yes,,,,,,01jul1763,,,,,,,,,,,1763,,,,,,1763,1764,90854
DR090,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91192,,,,1768,,,,,,,1,yes,yes,,,,,,01jul1768,,,,,,,,,,,1768,,,,,,1768,1769,91192
