		(0.099)	(0.13)	(0.20)	(0.18)	(0.099)		(0.10)	(0.10)	(0.10)	(0.12)	(0.12)	(0.12)	(0.098)	(0.10)	(0.093)				(0.11)	(0.095)	(0.19)	(0.13)																							(0.18)
1.period	Period = 1, pre-1750				-0.057																												-0.081	-0.079	-0.077	-0.077	-0.098	-0.075	-0.077	-0.077	-0.060	-0.081	-0.079	-0.064	-0.077	-0.089
					(0.086)																												(0.085)	(0.085)	(0.085)	(0.085)	(0.084)	(0.085)	(0.071)	(0.085)	(0.088)	(0.085)	(0.085)	(0.081)	(0.066)	(0.089)
3.period	Period = 3, 1776-1800				0.100**																												0.099	0.094	0.11	0.11	0.11	0.11	0.11	0.11	0.086	0.099	0.094	0.043	0.11	0.100
					(0.049)																												(0.068)	(0.070)	(0.072)	(0.072)	(0.073)	(0.074)	(0.095)	(0.072)	(0.074)	(0.068)	(0.070)	(0.070)	(0.090)	(0.067)
4.period	Period = 4, post-1800				0.11																												0.29*	0.30*	0.37**	0.37**	0.22	0.27	0.37*	0.37**	0.18	0.29*	0.30*	0.30*	0.37**	0.23
					(0.15)																												(0.17)	(0.17)	(0.17)	(0.17)	(0.17)	(0.17)	(0.22)	(0.17)	(0.17)	(0.17)	(0.17)	(0.17)	(0.17)	(0.16)
YEARAF	(mean) YEARAF		0.0029*	0.16																			0.0023	0.0037*	0.0038*	0.0034*	0.0037*	0.0032	0.0032	0.0080***	0.0067***	0.0059***														
			(0.0015)	(0.22)																			(0.0016)	(0.0020)	(0.0022)	(0.0020)	(0.0022)	(0.0020)	(0.0020)	(0.0020)	(0.0020)	(0.0022)														
yearsq	yearsq			-0.000044																																										
				(0.000061)																																										
war	(mean) war					0.037																	0.021	0.014	0.011	0.010	0.0098	0.0070	0.0070	0.026	0.011	0.0076	-0.0086	-0.0050	0.033	0.033	0.019	0.042	0.033	0.033	0.049	-0.0086	-0.0050	0.019	0.033	0.024
						(0.053)																	(0.054)	(0.055)	(0.057)	(0.057)	(0.057)	(0.057)	(0.057)	(0.054)	(0.053)	(0.055)	(0.059)	(0.058)	(0.061)	(0.061)	(0.060)	(0.063)	(0.052)	(0.061)	(0.062)	(0.059)	(0.058)	(0.058)	(0.049)	(0.060)
neutral	(mean) neutral					0.085*																	0.063	0.059	0.045	0.049	0.036	0.041	0.041	-0.0014	-0.00087	-0.0093	-0.0040	-0.0012	0.017	0.017	0.026	0.042	0.017	0.017	0.024	-0.0040	-0.0012	0.055	0.017	0.065
						(0.050)																	(0.052)	(0.054)	(0.056)	(0.056)	(0.056)	(0.056)	(0.056)	(0.053)	(0.051)	(0.055)	(0.064)	(0.065)	(0.066)	(0.066)	(0.065)	(0.067)	(0.068)	(0.066)	(0.068)	(0.064)	(0.065)	(0.063)	(0.065)	(0.065)
pricemarkup	(mean) pricemarkup						0.0058																	0.027	0.017	0.021	0.015	0.020	0.020	0.034	0.028	0.029	0.0073	0.0078	-0.0080	-0.0080	-0.0028		-0.0080	-0.0080	-0.0098	0.0073	0.0078	-0.018	-0.0080	
							(0.019)																	(0.023)	(0.025)	(0.025)	(0.025)	(0.025)	(0.025)	(0.024)	(0.023)	(0.024)	(0.022)	(0.022)	(0.023)	(0.023)	(0.022)		(0.020)	(0.023)	(0.023)	(0.022)	(0.022)	(0.022)	(0.019)	
captain_experience_d	Not the first voyage of the captain							-0.015																				0.013	0.013	0.016	0.017	0.024	0.024	0.024	0.012	0.012	0.014	0.028	0.012	0.012	0.027	0.024	0.024	0.0066	0.012	
								(0.044)																				(0.044)	(0.044)	(0.043)	(0.041)	(0.044)	(0.045)	(0.045)	(0.047)	(0.047)	(0.047)	(0.049)	(0.047)	(0.047)	(0.048)	(0.045)	(0.045)	(0.045)	(0.045)	
captain_experience	(min) captain_experience								-0.000063																		0.0018																			
									(0.0087)																		(0.0086)																			
captain_total_career	(mean) captain_total_career									0.0048																																				
										(0.0056)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.059															0.041		0.045	0.045	0.083	0.035	0.056	0.058	0.059	0.040	0.040	0.052	0.061	0.040	0.040	0.025	0.058	0.059	0.020	0.040	
											(0.060)															(0.059)		(0.059)	(0.059)	(0.056)	(0.055)	(0.060)	(0.061)	(0.062)	(0.064)	(0.064)	(0.063)	(0.064)	(0.056)	(0.064)	(0.066)	(0.061)	(0.062)	(0.061)	(0.053)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00030													-0.00066		-0.00073																			
												(0.0010)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.00073																																	
													(0.00098)																																	
1.perspective	Perspective of source = 1, Captain													-0.50																																
														(0.33)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.18)																																
4.perspective	Perspective of source = 4, Owner													0.33																																
														(0.43)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.12**															0.026	0.037	0.066	0.066				0.45***					0.066				
															(0.049)															(0.050)	(0.048)	(0.059)	(0.061)				(0.17)					(0.061)				
MORTALITY	Enslaved person mortality rate															-1.09***			-1.16***												-1.11***	-1.17***	-1.18***	-1.19***	-1.23***	-1.23***	-1.27***		-1.23***	-1.23***	-1.11***	-1.18***	-1.19***	-1.22***	-1.23***	
																(0.26)			(0.26)												(0.25)	(0.26)	(0.27)	(0.27)	(0.27)	(0.27)	(0.27)		(0.26)	(0.27)	(0.28)	(0.27)	(0.27)	(0.26)	(0.25)	
crowd	(mean) crowd																0.053	0.053	0.046													-0.037	-0.053	-0.013	-0.028	-0.028	-0.091		-0.028	-0.028	0.071	-0.053	-0.013	-0.038	-0.028	
																	(0.042)	(0.042)	(0.040)													(0.053)	(0.052)	(0.047)	(0.049)	(0.049)	(0.081)		(0.072)	(0.049)	(0.045)	(0.052)	(0.047)	(0.047)	(0.057)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.049															-0.036	-0.036	-0.42***	-0.059	-0.036	-0.036	-0.14***			0.00042	-0.036	-0.11**
																				(0.039)															(0.053)	(0.053)	(0.12)	(0.12)	(0.098)	(0.053)	(0.049)			(0.051)	(0.080)	(0.044)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.059***									-0.078***	-0.079***	-0.079***	-0.080***	-0.084***	-0.089***	-0.089***	0.016		-0.089	-0.089***		-0.080***	-0.084***	-0.084***	-0.089**	
																					(0.013)									(0.015)	(0.014)	(0.016)	(0.017)	(0.016)	(0.021)	(0.021)	(0.039)		(0.062)	(0.021)		(0.017)	(0.016)	(0.020)	(0.040)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					0.0047																								
																						(0.053)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.0066																								
																						(0.062)																								
TONMOD	(mean) TONMOD																																	0.00030			0.00026	0.000057					0.00030			
																																		(0.00033)			(0.00057)	(0.00065)					(0.00033)			
totalnetexpperton	totalnetexpperton																																					-0.000042								
																																						(0.000033)								
Constant	Constant	0.075***	-5.14*	-143	0.052*	0.052	0.054	0.081*	0.071**	0.039	0.023	0.068**	0.054	-0.13	-0.60**	0.23***	-0.0092	-0.0092	0.17**	0.72	0.22***	0.079	-4.10	-6.53*	-6.76*	-6.02*	-6.57*	-5.80	-5.80	-14.2***	-11.9***	-10.5***	0.039	0.29*	0.94	0.94	3.26***	0.88	0.94	0.94	1.87***	0.039	0.29*	0.52	0.94	1.43**
		(0.027)	(2.72)	(191)	(0.030)	(0.033)	(0.071)	(0.042)	(0.035)	(0.046)	(0.057)	(0.029)	(0.036)	(0.18)	(0.27)	(0.045)	(0.070)	(0.070)	(0.076)	(0.52)	(0.041)	(0.048)	(2.87)	(3.50)	(3.90)	(3.62)	(3.88)	(3.60)	(3.60)	(3.63)	(3.53)	(3.89)	(0.34)	(0.16)	(0.67)	(0.67)	(0.96)	(1.41)	(1.13)	(0.67)	(0.65)	(0.34)	(0.16)	(0.64)	(0.96)	(0.58)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.180	0.188	0.189	0.192	0.187	0.006	0.183	0.183	0.185	0.132	0.130	0.131	0.197	0.213	0.239	0.007	0.007	0.064	0.191	0.242	0.067	0.191	0.028	0.020	0.020	0.019	0.020	0.020	0.116	0.165	0.155	0.148	0.147	0.157	0.157	0.191	0.057	0.157	0.157	0.103	0.148	0.147	0.142	0.157	0.214
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
