		(0.11)	(0.14)	(0.21)	(0.19)	(0.11)		(0.11)	(0.11)	(0.11)	(0.12)	(0.13)	(0.13)	(0.11)	(0.11)	(0.10)				(0.12)	(0.10)	(0.20)	(0.14)																							(0.19)
1.period	Period = 1, pre-1750				-0.042																												-0.078	-0.076	-0.081	-0.081	-0.12	-0.064	-0.081	-0.081	-0.063	-0.078	-0.076	-0.057	-0.081	-0.082
					(0.092)																												(0.092)	(0.093)	(0.093)	(0.093)	(0.091)	(0.092)	(0.080)	(0.093)	(0.095)	(0.092)	(0.093)	(0.083)	(0.075)	(0.095)
3.period	Period = 3, 1776-1800				0.12**																												0.14*	0.14*	0.18**	0.18**	0.16**	0.14*	0.18	0.18**	0.14*	0.14*	0.14*	0.054	0.18	0.14*
					(0.052)																												(0.074)	(0.076)	(0.078)	(0.078)	(0.078)	(0.080)	(0.14)	(0.078)	(0.080)	(0.074)	(0.076)	(0.072)	(0.13)	(0.072)
4.period	Period = 4, post-1800				0.11																												0.32*	0.32*	0.44**	0.44**	0.23	0.29	0.44*	0.44**	0.25	0.32*	0.32*	0.31*	0.44**	0.27
					(0.16)																												(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.25)	(0.19)	(0.19)	(0.19)	(0.19)	(0.17)	(0.20)	(0.18)
YEARAF	(mean) YEARAF		0.0034**	0.081																			0.0028	0.0046**	0.0047**	0.0043**	0.0046**	0.0042*	0.0042*	0.0093***	0.0080***	0.0076***														
			(0.0016)	(0.23)																			(0.0017)	(0.0021)	(0.0023)	(0.0022)	(0.0023)	(0.0022)	(0.0022)	(0.0022)	(0.0022)	(0.0024)														
yearsq	yearsq			-0.000022																																										
				(0.000065)																																										
war	(mean) war					0.041																	0.022	0.0095	0.0061	0.0051	0.0045	0.00092	0.00092	0.029	0.014	0.011	-0.0097	-0.0063	0.041	0.041	0.027	0.057	0.041	0.041	0.051	-0.0097	-0.0063	0.012	0.041	0.026
						(0.057)																	(0.058)	(0.060)	(0.061)	(0.061)	(0.061)	(0.062)	(0.062)	(0.059)	(0.057)	(0.060)	(0.064)	(0.064)	(0.066)	(0.066)	(0.065)	(0.068)	(0.060)	(0.066)	(0.068)	(0.064)	(0.064)	(0.060)	(0.057)	(0.064)
neutral	(mean) neutral					0.096*																	0.071	0.058	0.042	0.046	0.033	0.038	0.038	-0.0086	-0.0077	-0.020	-0.023	-0.020	-0.0071	-0.0071	0.011	0.031	-0.0071	-0.0071	0.0040	-0.023	-0.020	0.055	-0.0071	0.058
						(0.054)																	(0.056)	(0.059)	(0.061)	(0.060)	(0.061)	(0.060)	(0.060)	(0.057)	(0.056)	(0.060)	(0.070)	(0.071)	(0.072)	(0.072)	(0.070)	(0.073)	(0.086)	(0.072)	(0.073)	(0.070)	(0.071)	(0.065)	(0.081)	(0.070)
pricemarkup	(mean) pricemarkup						0.0100																	0.037	0.027	0.033	0.025	0.031	0.031	0.046*	0.039	0.041	0.013	0.013	-0.0050	-0.0050	0.000098		-0.0050	-0.0050	-0.0060	0.013	0.013	-0.019	-0.0050	
							(0.020)																	(0.025)	(0.027)	(0.027)	(0.027)	(0.027)	(0.027)	(0.025)	(0.025)	(0.026)	(0.024)	(0.024)	(0.025)	(0.025)	(0.024)		(0.024)	(0.025)	(0.025)	(0.024)	(0.024)	(0.022)	(0.022)	
captain_experience_d	Not the first voyage of the captain							-0.0094																				0.018	0.018	0.020	0.021	0.028	0.028	0.027	0.018	0.018	0.019	0.033	0.018	0.018	0.032	0.028	0.027	0.0067	0.018	
								(0.047)																				(0.048)	(0.048)	(0.046)	(0.045)	(0.048)	(0.049)	(0.049)	(0.051)	(0.051)	(0.050)	(0.053)	(0.049)	(0.051)	(0.052)	(0.049)	(0.049)	(0.046)	(0.047)	
captain_experience	(min) captain_experience								0.00059																		0.0021																			
									(0.0093)																		(0.0092)																			
captain_total_career	(mean) captain_total_career									0.0037																																				
										(0.0060)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.070															0.056		0.059	0.059	0.097	0.049	0.070	0.073	0.074	0.054	0.054	0.065	0.071	0.054	0.054	0.041	0.073	0.074	0.024	0.054	
											(0.064)															(0.064)		(0.064)	(0.064)	(0.061)	(0.060)	(0.066)	(0.067)	(0.067)	(0.070)	(0.070)	(0.068)	(0.069)	(0.062)	(0.070)	(0.072)	(0.067)	(0.067)	(0.063)	(0.059)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00044													-0.00061		-0.00069																			
												(0.0011)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.0012																																	
													(0.0010)																																	
1.perspective	Perspective of source = 1, Captain													-0.50																																
														(0.36)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.19)																																
4.perspective	Perspective of source = 4, Owner													0.33																																
														(0.46)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.13**															0.024	0.036	0.054	0.058				0.67***					0.058				
															(0.052)															(0.054)	(0.052)	(0.065)	(0.067)				(0.19)					(0.067)				
MORTALITY	Enslaved person mortality rate															-1.14***			-1.23***												-1.14***	-1.19***	-1.21***	-1.22***	-1.23***	-1.23***	-1.30***		-1.23***	-1.23***	-1.13***	-1.21***	-1.22***	-1.23***	-1.23***	
																(0.28)			(0.29)												(0.27)	(0.29)	(0.29)	(0.29)	(0.30)	(0.30)	(0.29)		(0.27)	(0.30)	(0.30)	(0.29)	(0.29)	(0.27)	(0.25)	
crowd	(mean) crowd																0.069	0.069	0.062													-0.020	-0.042	-0.0068	-0.013	-0.013	-0.13		-0.013	-0.013	0.088*	-0.042	-0.0068	-0.029	-0.013	
																	(0.045)	(0.045)	(0.044)													(0.057)	(0.057)	(0.051)	(0.054)	(0.054)	(0.088)		(0.083)	(0.054)	(0.048)	(0.057)	(0.051)	(0.048)	(0.061)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.069															-0.086	-0.086	-0.61***	-0.18	-0.086	-0.086	-0.18***			-0.0072	-0.086	-0.14***
																				(0.042)															(0.057)	(0.057)	(0.13)	(0.13)	(0.13)	(0.057)	(0.053)			(0.052)	(0.11)	(0.046)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.064***									-0.087***	-0.088***	-0.088***	-0.088***	-0.092***	-0.093***	-0.093***	0.062		-0.093	-0.093***		-0.088***	-0.092***	-0.085***	-0.093**	
																					(0.015)									(0.016)	(0.016)	(0.018)	(0.019)	(0.019)	(0.024)	(0.024)	(0.043)		(0.075)	(0.024)		(0.019)	(0.019)	(0.022)	(0.046)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.011																								
																						(0.057)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.026																								
																						(0.067)																								
TONMOD	(mean) TONMOD																																	0.00029			0.00018	0.00052					0.00029			
																																		(0.00036)			(0.00062)	(0.00072)					(0.00036)			
totalnetexpperton	totalnetexpperton																																					-0.000025								
																																						(0.000040)								
Constant	Constant	0.10***	-5.97**	-75.0	0.073**	0.077**	0.067	0.10**	0.095**	0.072	0.038	0.092***	0.068*	-0.11	-0.61**	0.26***	-0.0090	-0.0090	0.18**	1.01*	0.25***	0.11**	-4.82	-8.23**	-8.41**	-7.76**	-8.21**	-7.54*	-7.54*	-16.6***	-14.2***	-13.4***	0.062	0.28	1.55**	1.55**	4.58***	2.35	1.55	1.55**	2.38***	0.062	0.28	0.62	1.55	1.85***
		(0.029)	(2.90)	(204)	(0.032)	(0.036)	(0.077)	(0.045)	(0.037)	(0.049)	(0.061)	(0.031)	(0.039)	(0.19)	(0.29)	(0.048)	(0.076)	(0.076)	(0.083)	(0.55)	(0.044)	(0.052)	(3.06)	(3.77)	(4.19)	(3.89)	(4.17)	(3.87)	(3.87)	(3.92)	(3.84)	(4.23)	(0.37)	(0.18)	(0.72)	(0.72)	(0.98)	(1.54)	(1.46)	(0.72)	(0.70)	(0.37)	(0.18)	(0.65)	(1.27)	(0.61)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.129	0.139	0.139	0.143	0.136	0.012	0.129	0.129	0.130	0.092	0.089	0.092	0.144	0.157	0.182	0.012	0.012	0.065	0.139	0.186	0.052	0.142	0.037	0.025	0.027	0.024	0.026	0.026	0.121	0.164	0.156	0.144	0.144	0.160	0.160	0.220	0.071	0.160	0.160	0.116	0.144	0.144	0.139	0.160	0.169
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
