ventureid,data,YEARDEP,YEARAF,SLAXIMP,SLAMIMP,length_in_days,numberofvoyages,DATEDEP,DATEDEP1,DATEDEP2,DATEDEP3,DATEDEP4,DATEDEP5,DATEDEP6,DATEDEP7,DATEEND,DATEEND1,DATEEND2,DATEEND3,DATEEND4,DATEEND5,DATEEND6,DATEEND7,crowd,TONMOD,VYMRTRAT,FATEcol,typeofventure,retranscriber,perspectiveofsource,nationality,source,dateofprimarysource_str,nameoftheship,nameofthecaptain,nameofinvestor,nameofoutfitter,internalcrossref,voyageidintstd,placeofoutfitting,placeofpurchase,placeofdisembarkation,datedepartureportofoutfitt_str,datetradebeganinafrica_str,dateofdeparturefromafrica_str,datevesselarrivedwithenslave_str,datereturnportofoutfitting_str,numberofenslavedpurchased,numberofenslavedsold,shareoftheship,completedataonoutlays,completedataonreturns,profitsreportedinsource,variousremarks,departurefromportofoutfitt,dateofdeparturefromportofoutfitt,primarysource,dateofprimarysource,tradebeganinafrica,datetradebeganinafrica,departurefromafrica,dateofdeparturefromafrica,vesselarrivedwithenslave,datevesselarrivedwithenslave,returntoportofoutfitting,dateofreturntoportofoutfitting,yearofdeparturefromportofoutfit,yearofprimarysource,yeartradebeganinafrica,yearofdeparturefromafrica,yearvesselarrivedwithslaves,yearofreturntoportofoutfitting,yearmin,YEARAF_own,VOYAGEID,nationality_num,ln_SLAXIMP,MORTALITY,period,expenditure,discount,return,costonreturn,totalgrossexp,totaldisc,totalgrossreturn,totalcostonreturn,totalnetexp,totalnetreturn,profit
DR011,2,1753,1754,370,317,,1,08/06/1753,-6513436917760,,,,,,,,,,,,,,,2.8461537,130,.14324324,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 126,,Frodsham,,"Torre, Nicholas",,,24918,,Angola,,,,,,,,,.17,yes,yes,,,,,,,,,,,,,,,,,,,,,,,24918,English,5.9135032,.14324324,1751-1775,0,0,,0,1097.6801,0,1054.6,0,1097.6801,1054.6,-.039246481
DR012,2,1753,1753.5,183.5,154,,2,06/18/1753,-6517670543360,-6521472155648,,,,,,12/31/1754,-6469200117760,,,,,,,1.5021036,137.3,.16076294,Unspecified/unknown,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 124,,York,,"Torre, Nicholas",,,90468 / 90470,,Angola,,,,,,,,,.25,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90468 / 90470,English,5.2122145,.16076294,1751-1775,0,0,,0,1600.3301,0,1707.14,0,1600.3301,1707.14,.066742443
DR013,1,1749,1750,220,180,,1,,,,,,,,,11/30/1750,-6598108905472,,,,,,,1.9945602,110.3,.18181819,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,Hardman,,"Torre, Nicholas",,,90150,,Africa,,,,,,,,,.17,with estimates,yes,,,,,,,,,,,,,,,,,,,,,,,90150,English,5.3936276,.18181819,pre-1750,106.67,0,,0,926.75,0,575.27002,0,926.75,575.27002,-.37926084
DR014,2,1755,1756,443,379,,1,04/05/1755,-6460991864832,,,,,,,,,,,,,,,1.9489661,227.3,.14446953,,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,York,,"Torre, Nicholas",,,90469,,Angola,,,,,,,,,.25,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90469,English,6.0935698,.14446953,1751-1775,0,0,,0,2237.72,0,2447.1899,0,2237.72,2447.1899,.093608662
DR015,1,1788,1788,175,170,469,1,11/22/1788,-5399568187392,,,,,,,03/06/1790,-5359046492160,,,,,,,1.7326733,101,.028571429,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1788/17",,Ruby,,"Rogers, James",,,18029,,,,1788,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1788,,,,,,,,,,,1788,,,,,,1788,1789,18029,English,5.1647859,.028571429,1776-1800,612,0,,0,6178,0,5030,0,6178,5030,-.18582065
DR016,1,1790,1790,83,73,,1,06/27/1790,-5349283201024,,,,,,,,,,,,,,,1.8863636,44,.12048193,,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/13",,Flora,,"Rogers, James",,,18070,,,,1790,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1790,,,,,,,,,,,1790,,,,,,1790,1791,18070,English,4.4188404,.12048193,1776-1800,100,0,,0,1013,0,2620,0,1013,2620,1.5863771
DR017,1,1790,1790,210,189,393,1,01/15/1790,-5363366625280,,,,,,,02/12/1791,-5329411112960,,,,,,,1.6666666,126,.1,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/8",,Daniel,,"Rogers, James",,,18066,,,,1790,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1790,,,,,,,,,,,1790,,,,,,1790,1791,18066,English,5.3471074,.1,1776-1800,588,0,,0,5936,0,4666,0,5936,4666,-.21394879
DR018,1,1791,1791,146,126,,1,03/13/1791,-5326905540608,,,,,,,,,,,,,,,1.1587301,126,.1369863,,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/8",,Daniel,,"Rogers, James",,,18096,,,,1791,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1791,,,,,,,,,,,1791,,,,,,1791,1792,18096,English,4.9836068,.1369863,1776-1800,125,0,,0,1261,0,1973,0,1261,1973,.56463122
DR019,1,1787,1788,449,330,679,1,08/09/1787,-5440262373376,,,,,,,06/18/1789,-5381596643328,,,,,,,1.2135135,370,.26503339,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/22",,Pearl,,"Rogers, James",,,18002,,,,1787,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1787,,,,,,,,,,,1787,,,,,,1787,1788,18002,English,6.1070228,.26503339,1776-1800,1118,0,,0,11439,0,7965,541,11439,7424,-.35099223
DR020,1,1790,1790,328,300,241,1,03/06/1790,-5359046492160,,,,,,,11/02/1790,-5338223869952,,,,,,,1.1310345,290,.085365854,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/24",,Rodney,,"Rogers, James",,,83366,,,,1790,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1790,,,,,,,,,,,1790,,,,,,1790,1791,83366,English,5.7930136,.085365854,1776-1800,1194,0,,0,12045,0,13115,0,12045,13115,.088833541
DR021,1,1789,1790,270,263,373,1,10/04/1789,-5372265365504,,,,,,,10/12/1790,-5340038430720,,,,,,,1.6463414,164,.025925925,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1789/9",,Crescent,,"Rogers, James",,,18040,,,,1789,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1789,,,,,,,,,,,1789,,,,,,1789,1790,18040,English,5.5984221,.025925925,1776-1800,0,0,,0,8876,0,11838,803,8876,11035,.24324019
DR022,1,1789,1790,,,,2,09/21/1789,-5373388914688,,,,,,,11/02/1790,-5338223869952,,,,,,,1.6623377,154,,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1789/23 and 1789/19",,Sarah / Nimble,,"Rogers, James",,,18054/,,,,1789,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1789,,,,,,,,,,,1789,,,,,,1789,1790,18054/,English,,,1776-1800,675,0,,0,6953,0,5712,846,6953,4866,-.3001582
DR023,1,1784,1785,489,448,317,1,07/07/1784,-5537721745408,,,,,,,05/20/1785,-5510332940288,,,,,,,1.7589928,278,.08384458,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1784/12",,Sally,,"Rogers, James",,,17942,,,,1784,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1784,,,,,,,,,,,1784,,,,,,1784,1785,17942,English,6.1923623,.08384458,1776-1800,1294,0,,0,13052,0,14733,0,13052,14733,.12879252
DR024,1,1783,1784,448,410,273,1,07/27/1783,-5567616122880,,,,,,,04/25/1784,-5544028930048,,,,,,,1.6115108,278,.084821425,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/14",,Sally,,"Rogers, James",,,17929,,,,1783,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1783,,,,,,,,,,,1783,,,,,,1783,1784,17929,English,6.1047931,.084821425,1776-1800,1173,0,,0,11833,0,13412,0,11833,13412,.13344038
DR025,1,1783,1783.5,310,262,367.5,2,10/13/1783,-5560876924928,-5561913442304,,,,,,11/29/1784,-5534092623872,-5525193359360,,,,,,2.1898649,225,.15483871,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/11",,Little Pearl / Pearl,,"Rogers, James",,,17924 / 17926,,,,1783,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1783,,,,,,,,,,,1783,,,,,,1783,1784,17924 / 17926,English,5.7365723,.15483871,1776-1800,1082,0,,0,10917,0,6015,0,10917,6015,-.44902447
DR026,1,1787,1788,105,97,383,1,08/10/1787,-5440175865856,,,,,,,08/27/1788,-5407084904448,,,,,,,1.0396039,101,.076190479,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/26",,Ruby,,"Rogers, James",,,18006,,,,1787,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1787,,,,,,,,,,,1787,,,,,,1787,1788,18006,English,4.6539602,.076190479,1776-1800,406,0,,0,4098,0,3917,0,4098,3917,-.044167887
DR027,1,1787,1788,230,202,669,1,12/21/1787,-5428685045760,,,,,,,10/20/1789,-5370883342336,,,,,,,2.1296296,108,.12173913,Original goal thwarted after disembarking enslaved people,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/17",,Juba,,"Rogers, James",,,17997,,,,1787,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1787,,,,,,,,,,,1787,,,,,,1787,1788,17997,English,5.4380794,.12173913,1776-1800,0,0,,0,4679,0,5836,0,4679,5836,.24727505
DR028,1,1746,1747,421,360,558,1,08/24/1746,-6732806356992,,,,,,,03/04/1748,-6684595453952,,,,,,,1.5460888,272.3,.14489311,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1746/7",,Jason,,,,,17157,,,,1746,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1746,,,,,,,,,,,1746,,,,,,1746,1747,17157,English,6.0426331,.14489311,pre-1750,968,0,,0,5408,0,9028,0,5408,9028,.6693787
DR029,1,1748,1749,273,236,638,1,10/06/1748,-6665932898304,,,,,,,07/06/1750,-6610809782272,,,,,,,1.0025707,272.3,.13553114,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/13",,Jason,,,,,17207,,,,1748,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1748,,,,,,,,,,,1748,,,,,,1748,1749,17207,English,5.6094718,.13553114,pre-1750,543,0,,0,5481,0,6382,0,5481,6382,.16438606
DR030,1,1750,1751,273,236,614,1,10/19/1750,-6601737502720,,,,,,,06/24/1752,-6548687945728,,,,,,,1.0025707,272.3,.13553114,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1750/13",,Jason,,,,,17268,,,,1750,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1750,,,,,,,,,,,1750,,,,,,1750,1751,17268,English,5.6094718,.13553114,1751-1775,669,0,,0,6754,0,7158.5,0,6754,7158.5,.059890434
DR031,1,1730,1730,386,351,320,1,06/06/1730,-7244553388032,,,,,,,04/22/1731,-7216905584640,,,,,,,3.0085738,128.3,.090673573,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Bridgett,,,,,16613,,,,,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,16613,English,5.9558372,.090673573,pre-1750,355,0,,0,3579,0,4727,0,3579,4727,.32075998
DR032,1,1732,1732,316,250,437,1,07/15/1732,-7178025435136,,,,,,,09/25/1733,-7140268834816,,,,,,,2.4629774,128.3,.20886075,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Bridgett,,,,,16713,,,,,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,16713,English,5.7557421,.20886075,pre-1750,310,0,,0,3130,0,3716,0,3130,3716,.18722045
DR033,1,1730,1730,299,227,411,1,02/25/1730,-7253280161792,,,,,,,04/12/1731,-7217769611264,,,,,,,2.0437458,146.3,.24080268,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Dreadnought,,,,,16618,,,,,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,16618,English,5.7004437,.24080268,pre-1750,348,0,,0,3516,0,2101,0,3516,2101,-.40244597
DR034,1,1730,1731,273,236,406,1,07/24/1730,-7240406269952,,,,,,,09/03/1731,-7205328257024,,,,,,,2.4750681,110.3,.13553114,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,,16641,,,,,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,16641,English,5.6094718,.13553114,pre-1750,396,0,,0,3997,0,2681,0,3997,2681,-.32924694
DR035,1,1731,1732,271,217,307,1,11/09/1731,-7199539068928,,,,,,,09/11/1732,-7173014290432,,,,,,,2.4569356,110.3,.19926199,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,,16690,,,,,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,16690,English,5.602119,.19926199,pre-1750,301,0,,0,3038,0,2864,0,3038,2864,-.057274524
DR036,1,1733,1734,271,217,480,1,04/12/1733,-7154611257344,,,,,,,08/05/1734,-7113139027968,,,,,,,2.4569356,110.3,.19926199,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,,16770,,,,,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,16770,English,5.602119,.19926199,pre-1750,293,0,,0,2959,0,3792,0,2959,3792,.28151402
DR037,1,1735,1736,271,217,373,1,06/29/1735,-7084800212992,,,,,,,07/06/1736,-7052572753920,,,,,,,2.4569356,110.3,.19926199,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,,16834,,,,,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,16834,English,5.602119,.19926199,pre-1750,346,0,,0,3491,0,3909,0,3491,3909,.11973646
DR038,1,1736,1737,271,217,525,1,09/03/1736,-7047475101696,,,,,,,02/10/1738,-7002115276800,,,,,,,2.4569356,110.3,.19926199,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",,Nightingale,,,,,16867,,,,,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,16867,English,5.602119,.19926199,pre-1750,291,0,,0,2939,0,3553,0,2939,3553,.20891459
DR039,1,1751,1751,151,129,505,1,01/10/1751,-6594566291456,,,,,,,05/29/1752,-6550934519808,,,,,,,.91905051,164.3,.14569536,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1751/19",,Molly,,,,,17296,,,,1751,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1751,,,,,,,,,,,1751,,,,,,1751,1752,17296,English,5.0172796,.14569536,1751-1775,425,0,,0,4290,0,2570,0,4290,2570,-.4009324
DR040,1,1752,1753,225,193,420,1,08/25/1752,-6543331295232,,,,,,,10/19/1753,-6507043225600,,,,,,,1.3694462,164.3,.14222223,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1752/19",,Molly,,,,,17323,,,,1752,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1752,,,,,,,,,,,1752,,,,,,1752,1753,17323,English,5.4161005,.14222223,1751-1775,448,0,,0,4517,0,2839,0,4517,2839,-.3714855
DR041,1,1754,1755,390,270,437,1,07/20/1754,-6483369525248,,,,,,,09/30/1755,-6445612924928,,,,,,,1.2774321,305.3,.30769232,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1754/7",,Emperor,,,,,17363,,,,1754,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1754,,,,,,,,,,,1754,,,,,,1754,1755,17363,English,5.9661469,.30769232,1751-1775,781,0,,0,7881,0,4100,0,7881,4100,-.47976145
DR042,1,1759,1759,92,70,,1,03/21/1759,-6336057704448,,,,,,,,,,,,,,,.50466263,182.3,.23913044,Original goal thwarted after disembarking enslaved people,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1759/24",,Swift,,,,,17470,,,,1759,,,,,,,1,with estimates,yes,,Insurance rates imputed from previous research on insurance rates,,01jul1759,,,,,,,,,,,1759,,,,,,1759,1760,17470,English,4.5217886,.23913044,1751-1775,1087,0,,0,5275,0,2195,0,5275,2195,-.58388627
DR043,1,1770,1771,386,351,358,1,09/03/1770,-5974560079872,,,,,,,08/27/1771,-5943628660736,,,,,,,2.117389,182.3,.090673573,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1770/12",,Hector,,,,,17753,,,,1770,,,,,,,1,with estimates,with estimates,,"No data on insurance, no residual value of ship on return",,01jul1770,,,,,,,,,,,1770,,,,,,1770,1771,17753,English,5.9558372,.090673573,1751-1775,765,0,,0,7720,0,8583,0,7720,8583,.11178757
DR044,1,1771,1772,334,304,475,1,10/30/1771,-5938098995200,,,,,,,02/16/1773,-5897059303424,,,,,,,1.8321449,182.3,.089820363,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1771/11",,Hector,,,,,17780,,,,1771,,,,,,,1,with estimates,with estimates,,"No data on insurance, no ship value out or in",,01jul1771,,,,,,,,,,,1771,,,,,,1771,1772,17780,English,5.811141,.089820363,1751-1775,695,0,,0,7897,0,11342,0,7897,11342,.4362416
DR045,1,1773,1774,189.5,172.5,452,2,06/28/1773,-5885654466560,-5885740974080,,,,,,09/26/1774,-5846342303744,-5846947332096,,,,,,1.3709615,119.3,.089709766,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1773/13",,Ambris / Hector,,,,,17825 / 17836,,,,1773,,,,,,,1,with estimates,with estimates,,"No data on insurance, no ship value out or in",,01jul1773,,,,,,,,,,,1773,,,,,,1773,1774,17825 / 17836,English,5.2443891,.089709766,1751-1775,723,0,,0,7620,0,9383,0,7620,9383,.23136483
