		(0.098)	(0.13)	(0.20)	(0.17)	(0.098)		(0.10)	(0.10)	(0.10)	(0.12)	(0.12)	(0.12)	(0.097)	(0.099)	(0.092)				(0.11)	(0.095)	(0.19)	(0.13)																							(0.18)
1.period	Period = 1, pre-1750				-0.044																												-0.074	-0.071	-0.071	-0.071	-0.095	-0.065	-0.071	-0.071	-0.051	-0.074	-0.071	-0.057	-0.071	-0.074
					(0.085)																												(0.085)	(0.085)	(0.086)	(0.086)	(0.084)	(0.085)	(0.071)	(0.086)	(0.089)	(0.085)	(0.085)	(0.082)	(0.067)	(0.088)
3.period	Period = 3, 1776-1800				0.11**																												0.11	0.100	0.12*	0.12*	0.11	0.11	0.12	0.12*	0.096	0.11	0.100	0.054	0.12	0.11*
					(0.048)																												(0.068)	(0.070)	(0.072)	(0.072)	(0.073)	(0.074)	(0.095)	(0.072)	(0.074)	(0.068)	(0.070)	(0.070)	(0.090)	(0.066)
4.period	Period = 4, post-1800				0.13																												0.30*	0.31*	0.39**	0.39**	0.22	0.28*	0.39*	0.39**	0.19	0.30*	0.31*	0.32*	0.39**	0.25
					(0.15)																												(0.17)	(0.17)	(0.17)	(0.17)	(0.18)	(0.17)	(0.22)	(0.17)	(0.17)	(0.17)	(0.17)	(0.17)	(0.17)	(0.16)
YEARAF	(mean) YEARAF		0.0030**	0.13																			0.0024	0.0036*	0.0039*	0.0034*	0.0037*	0.0032	0.0032	0.0081***	0.0069***	0.0060***														
			(0.0015)	(0.21)																			(0.0016)	(0.0020)	(0.0022)	(0.0020)	(0.0022)	(0.0020)	(0.0020)	(0.0020)	(0.0020)	(0.0022)														
yearsq	yearsq			-0.000037																																										
				(0.000060)																																										
war	(mean) war					0.042																	0.026	0.034	0.029	0.028	0.027	0.025	0.025	0.038	0.024	0.020	0.0017	0.0055	0.044	0.044	0.028	0.056	0.044	0.044	0.064	0.0017	0.0055	0.031	0.044	0.024
						(0.053)																	(0.054)	(0.056)	(0.058)	(0.058)	(0.057)	(0.058)	(0.058)	(0.055)	(0.053)	(0.055)	(0.059)	(0.059)	(0.061)	(0.061)	(0.060)	(0.063)	(0.053)	(0.061)	(0.063)	(0.059)	(0.059)	(0.059)	(0.050)	(0.059)
neutral	(mean) neutral					0.089*																	0.068	0.069	0.051	0.056	0.043	0.049	0.049	0.0023	0.0028	-0.0038	-0.0020	0.0014	0.018	0.018	0.027	0.048	0.018	0.018	0.026	-0.0020	0.0014	0.056	0.018	0.060
						(0.050)																	(0.052)	(0.055)	(0.057)	(0.056)	(0.057)	(0.056)	(0.056)	(0.053)	(0.051)	(0.056)	(0.065)	(0.065)	(0.066)	(0.066)	(0.065)	(0.068)	(0.069)	(0.066)	(0.068)	(0.065)	(0.065)	(0.064)	(0.066)	(0.064)
pricemarkup	(mean) pricemarkup						0.0060																	0.025	0.017	0.021	0.015	0.020	0.020	0.035	0.028	0.030	0.0078	0.0084	-0.0078	-0.0078	-0.0022		-0.0078	-0.0078	-0.0097	0.0078	0.0084	-0.017	-0.0078	
							(0.019)																	(0.023)	(0.025)	(0.025)	(0.025)	(0.025)	(0.025)	(0.024)	(0.023)	(0.024)	(0.022)	(0.022)	(0.023)	(0.023)	(0.023)		(0.021)	(0.023)	(0.024)	(0.022)	(0.022)	(0.022)	(0.019)	
captain_experience_d	Not the first voyage of the captain							-0.0061																				0.011	0.011	0.014	0.015	0.022	0.022	0.021	0.011	0.011	0.013	0.026	0.011	0.011	0.027	0.022	0.021	0.0051	0.011	
								(0.044)																				(0.045)	(0.045)	(0.043)	(0.041)	(0.045)	(0.045)	(0.045)	(0.047)	(0.047)	(0.047)	(0.049)	(0.047)	(0.047)	(0.049)	(0.045)	(0.045)	(0.045)	(0.045)	
captain_experience	(min) captain_experience								0.0019																		0.0024																			
									(0.0087)																		(0.0087)																			
captain_total_career	(mean) captain_total_career									0.0066																																				
										(0.0056)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.046															0.032		0.037	0.037	0.079	0.031	0.051	0.053	0.054	0.034	0.034	0.049	0.055	0.034	0.034	0.017	0.053	0.054	0.014	0.034	
											(0.060)															(0.060)		(0.060)	(0.060)	(0.057)	(0.056)	(0.061)	(0.062)	(0.062)	(0.065)	(0.065)	(0.063)	(0.064)	(0.057)	(0.065)	(0.066)	(0.062)	(0.062)	(0.062)	(0.054)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00029													-0.00071		-0.00079																			
												(0.0010)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.00044																																	
													(0.00097)																																	
1.perspective	Perspective of source = 1, Captain													-0.50																																
														(0.33)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.18)																																
4.perspective	Perspective of source = 4, Owner													0.33																																
														(0.43)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.14***															0.033	0.044	0.078	0.077				0.50***					0.077				
															(0.048)															(0.050)	(0.049)	(0.060)	(0.062)				(0.17)					(0.062)				
MORTALITY	Enslaved person mortality rate															-1.07***			-1.16***												-1.11***	-1.17***	-1.18***	-1.19***	-1.22***	-1.22***	-1.27***		-1.22***	-1.22***	-1.10***	-1.18***	-1.19***	-1.22***	-1.22***	
																(0.26)			(0.27)												(0.25)	(0.27)	(0.27)	(0.27)	(0.28)	(0.28)	(0.27)		(0.26)	(0.28)	(0.28)	(0.27)	(0.27)	(0.26)	(0.25)	
crowd	(mean) crowd																0.055	0.055	0.048													-0.045	-0.061	-0.014	-0.031	-0.031	-0.097		-0.031	-0.031	0.073	-0.061	-0.014	-0.041	-0.031	
																	(0.042)	(0.042)	(0.041)													(0.053)	(0.052)	(0.047)	(0.050)	(0.050)	(0.081)		(0.074)	(0.050)	(0.045)	(0.052)	(0.047)	(0.048)	(0.058)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.040															-0.036	-0.036	-0.46***	-0.061	-0.036	-0.036	-0.14***			0.0013	-0.036	-0.099**
																				(0.040)															(0.054)	(0.054)	(0.12)	(0.12)	(0.10)	(0.054)	(0.050)			(0.052)	(0.083)	(0.044)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.061***									-0.079***	-0.080***	-0.081***	-0.082***	-0.087***	-0.093***	-0.093***	0.024		-0.093	-0.093***		-0.082***	-0.087***	-0.088***	-0.093**	
																					(0.013)									(0.015)	(0.014)	(0.016)	(0.017)	(0.016)	(0.021)	(0.021)	(0.039)		(0.062)	(0.021)		(0.017)	(0.016)	(0.020)	(0.040)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					0.028																								
																						(0.053)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.028																								
																						(0.062)																								
TONMOD	(mean) TONMOD																																	0.00036			0.00029	0.00011					0.00036			
																																		(0.00033)			(0.00057)	(0.00065)					(0.00033)			
totalnetexpperton	totalnetexpperton																																					-0.000045								
																																						(0.000033)								
Constant	Constant	0.059**	-5.29**	-121	0.031	0.034	0.037	0.062	0.053	0.014	0.020	0.055*	0.047	-0.15	-0.70***	0.21***	-0.026	-0.026	0.15*	0.59	0.21***	0.047	-4.15	-6.35*	-6.83*	-6.01	-6.63*	-5.79	-5.79	-14.5***	-12.1***	-10.7***	-0.013	0.28*	0.94	0.94	3.51***	0.90	0.94	0.94	1.91***	-0.013	0.28*	0.51	0.94	1.33**
		(0.027)	(2.69)	(189)	(0.030)	(0.033)	(0.072)	(0.042)	(0.035)	(0.046)	(0.057)	(0.029)	(0.036)	(0.18)	(0.27)	(0.044)	(0.071)	(0.071)	(0.077)	(0.53)	(0.041)	(0.048)	(2.84)	(3.52)	(3.93)	(3.65)	(3.91)	(3.63)	(3.63)	(3.65)	(3.55)	(3.91)	(0.34)	(0.17)	(0.68)	(0.68)	(0.97)	(1.42)	(1.16)	(0.68)	(0.66)	(0.34)	(0.17)	(0.66)	(0.99)	(0.58)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.097	0.107	0.107	0.113	0.106	0.001	0.103	0.103	0.106	0.068	0.067	0.067	0.116	0.128	0.151	0.006	0.006	0.061	0.105	0.160	0.026	0.111	0.025	0.022	0.021	0.021	0.021	0.021	0.122	0.171	0.161	0.154	0.153	0.161	0.161	0.203	0.064	0.161	0.161	0.104	0.154	0.153	0.146	0.161	0.132
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
