		(0.11)	(0.14)	(0.21)	(0.19)	(0.11)		(0.11)	(0.11)	(0.11)	(0.12)	(0.12)	(0.13)	(0.10)	(0.11)	(0.100)				(0.12)	(0.10)	(0.20)	(0.14)																							(0.19)
1.period	Period = 1, pre-1750				-0.040																												-0.077	-0.074	-0.080	-0.080	-0.12	-0.063	-0.080	-0.080	-0.062	-0.077	-0.074	-0.055	-0.080	-0.081
					(0.092)																												(0.092)	(0.092)	(0.093)	(0.093)	(0.090)	(0.092)	(0.081)	(0.093)	(0.095)	(0.092)	(0.092)	(0.083)	(0.075)	(0.095)
3.period	Period = 3, 1776-1800				0.12**																												0.14*	0.14*	0.18**	0.18**	0.16**	0.14*	0.18	0.18**	0.14*	0.14*	0.14*	0.053	0.18	0.14*
					(0.052)																												(0.074)	(0.076)	(0.078)	(0.078)	(0.078)	(0.080)	(0.14)	(0.078)	(0.079)	(0.074)	(0.076)	(0.071)	(0.13)	(0.071)
4.period	Period = 4, post-1800				0.090																												0.31	0.31*	0.43**	0.43**	0.22	0.28	0.43*	0.43**	0.23	0.31	0.31*	0.30*	0.43**	0.26
					(0.16)																												(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.26)	(0.19)	(0.19)	(0.19)	(0.19)	(0.17)	(0.20)	(0.18)
YEARAF	(mean) YEARAF		0.0034**	0.093																			0.0027	0.0045**	0.0047**	0.0042*	0.0046*	0.0041*	0.0041*	0.0093***	0.0080***	0.0075***														
			(0.0016)	(0.23)																			(0.0017)	(0.0021)	(0.0023)	(0.0022)	(0.0023)	(0.0022)	(0.0022)	(0.0022)	(0.0022)	(0.0024)														
yearsq	yearsq			-0.000025																																										
				(0.000065)																																										
war	(mean) war					0.035																	0.016	0.0042	0.00047	-0.00055	-0.0011	-0.0044	-0.0044	0.024	0.0092	0.0068	-0.014	-0.011	0.037	0.037	0.024	0.053	0.037	0.037	0.046	-0.014	-0.011	0.0072	0.037	0.021
						(0.057)																	(0.058)	(0.059)	(0.061)	(0.061)	(0.061)	(0.061)	(0.061)	(0.059)	(0.057)	(0.060)	(0.064)	(0.064)	(0.066)	(0.066)	(0.064)	(0.068)	(0.060)	(0.066)	(0.068)	(0.064)	(0.064)	(0.059)	(0.057)	(0.064)
neutral	(mean) neutral					0.096*																	0.071	0.059	0.042	0.046	0.033	0.039	0.039	-0.0083	-0.0074	-0.020	-0.023	-0.021	-0.0074	-0.0074	0.011	0.029	-0.0074	-0.0074	0.0034	-0.023	-0.021	0.055	-0.0074	0.057
						(0.054)																	(0.056)	(0.059)	(0.060)	(0.060)	(0.061)	(0.060)	(0.060)	(0.057)	(0.055)	(0.060)	(0.070)	(0.071)	(0.072)	(0.072)	(0.070)	(0.072)	(0.086)	(0.072)	(0.073)	(0.070)	(0.071)	(0.065)	(0.081)	(0.069)
pricemarkup	(mean) pricemarkup						0.0098																	0.036	0.027	0.032	0.024	0.031	0.031	0.046*	0.039	0.041	0.012	0.013	-0.0048	-0.0048	0.00052		-0.0048	-0.0048	-0.0060	0.012	0.013	-0.019	-0.0048	
							(0.020)																	(0.025)	(0.027)	(0.027)	(0.026)	(0.027)	(0.027)	(0.025)	(0.025)	(0.026)	(0.024)	(0.024)	(0.025)	(0.025)	(0.024)		(0.024)	(0.025)	(0.025)	(0.024)	(0.024)	(0.022)	(0.022)	
captain_experience_d	Not the first voyage of the captain							-0.011																				0.016	0.016	0.019	0.020	0.026	0.026	0.026	0.017	0.017	0.018	0.031	0.017	0.017	0.031	0.026	0.026	0.0056	0.017	
								(0.047)																				(0.048)	(0.048)	(0.046)	(0.045)	(0.048)	(0.049)	(0.049)	(0.051)	(0.051)	(0.050)	(0.053)	(0.049)	(0.051)	(0.052)	(0.049)	(0.049)	(0.046)	(0.047)	
captain_experience	(min) captain_experience								0.00061																		0.0022																			
									(0.0093)																		(0.0092)																			
captain_total_career	(mean) captain_total_career									0.0038																																				
										(0.0060)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.071															0.056		0.060	0.060	0.098	0.049	0.071	0.074	0.074	0.055	0.055	0.066	0.071	0.055	0.055	0.041	0.074	0.074	0.025	0.055	
											(0.064)															(0.064)		(0.063)	(0.063)	(0.061)	(0.060)	(0.066)	(0.067)	(0.067)	(0.070)	(0.070)	(0.068)	(0.069)	(0.062)	(0.070)	(0.071)	(0.067)	(0.067)	(0.062)	(0.058)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00038													-0.00066		-0.00074																			
												(0.0011)													(0.0012)		(0.0012)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.0011																																	
													(0.0010)																																	
1.perspective	Perspective of source = 1, Captain													-0.50																																
														(0.36)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.19)																																
4.perspective	Perspective of source = 4, Owner													0.33																																
														(0.46)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.13**															0.023	0.035	0.052	0.056				0.68***					0.056				
															(0.052)															(0.054)	(0.052)	(0.065)	(0.067)				(0.19)					(0.067)				
MORTALITY	Enslaved person mortality rate															-1.14***			-1.22***												-1.14***	-1.19***	-1.21***	-1.22***	-1.23***	-1.23***	-1.30***		-1.23***	-1.23***	-1.13***	-1.21***	-1.22***	-1.23***	-1.23***	
																(0.28)			(0.29)												(0.27)	(0.29)	(0.29)	(0.29)	(0.30)	(0.30)	(0.29)		(0.27)	(0.30)	(0.30)	(0.29)	(0.29)	(0.27)	(0.25)	
crowd	(mean) crowd																0.069	0.069	0.062													-0.020	-0.043	-0.0083	-0.013	-0.013	-0.13		-0.013	-0.013	0.087*	-0.043	-0.0083	-0.030	-0.013	
																	(0.045)	(0.045)	(0.044)													(0.057)	(0.057)	(0.051)	(0.054)	(0.054)	(0.088)		(0.083)	(0.054)	(0.048)	(0.057)	(0.051)	(0.048)	(0.061)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.071*															-0.087	-0.087	-0.62***	-0.19	-0.087	-0.087	-0.18***			-0.0084	-0.087	-0.14***
																				(0.042)															(0.056)	(0.056)	(0.13)	(0.13)	(0.13)	(0.056)	(0.052)			(0.051)	(0.11)	(0.046)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.063***									-0.087***	-0.087***	-0.088***	-0.087***	-0.091***	-0.092***	-0.092***	0.065		-0.092	-0.092***		-0.087***	-0.091***	-0.084***	-0.092**	
																					(0.014)									(0.016)	(0.016)	(0.018)	(0.019)	(0.019)	(0.024)	(0.024)	(0.043)		(0.075)	(0.024)		(0.019)	(0.019)	(0.022)	(0.045)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.014																								
																						(0.057)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.025																								
																						(0.067)																								
TONMOD	(mean) TONMOD																																	0.00028			0.00017	0.00055					0.00028			
																																		(0.00036)			(0.00062)	(0.00072)					(0.00036)			
totalnetexpperton	totalnetexpperton																																					-0.000022								
																																						(0.000040)								
Constant	Constant	0.096***	-5.83**	-85.2	0.068**	0.073**	0.061	0.098**	0.088**	0.064	0.031	0.086***	0.063	-0.11	-0.60**	0.26***	-0.014	-0.014	0.17**	1.04*	0.24***	0.11**	-4.72	-8.05**	-8.29**	-7.58*	-8.10*	-7.36*	-7.36*	-16.5***	-14.0***	-13.2***	0.070	0.28	1.56**	1.56**	4.62***	2.43	1.56	1.56**	2.39***	0.070	0.28	0.63	1.56	1.85***
		(0.029)	(2.90)	(203)	(0.032)	(0.036)	(0.077)	(0.045)	(0.037)	(0.049)	(0.061)	(0.031)	(0.038)	(0.19)	(0.29)	(0.048)	(0.076)	(0.076)	(0.083)	(0.55)	(0.044)	(0.052)	(3.06)	(3.76)	(4.18)	(3.88)	(4.16)	(3.86)	(3.86)	(3.92)	(3.84)	(4.23)	(0.37)	(0.18)	(0.72)	(0.72)	(0.98)	(1.54)	(1.46)	(0.72)	(0.70)	(0.37)	(0.18)	(0.65)	(1.27)	(0.61)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.130	0.139	0.140	0.144	0.137	0.011	0.130	0.130	0.131	0.093	0.090	0.093	0.145	0.158	0.183	0.011	0.011	0.064	0.141	0.187	0.052	0.143	0.036	0.024	0.025	0.023	0.025	0.025	0.119	0.163	0.154	0.143	0.143	0.159	0.159	0.220	0.070	0.159	0.159	0.116	0.143	0.143	0.138	0.159	0.170
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
