		(0.11)	(0.14)	(0.22)	(0.19)	(0.11)		(0.11)	(0.11)	(0.11)	(0.13)	(0.13)	(0.13)	(0.11)	(0.11)	(0.10)				(0.12)	(0.11)	(0.21)	(0.14)																							(0.20)
1.period	Period = 1, pre-1750				0.0076																												-0.032	-0.028	-0.040	-0.040	-0.089	-0.024	-0.040	-0.040	-0.019	-0.032	-0.028	-0.015	-0.040	-0.032
					(0.094)																												(0.096)	(0.096)	(0.097)	(0.097)	(0.094)	(0.095)	(0.093)	(0.097)	(0.099)	(0.096)	(0.096)	(0.088)	(0.086)	(0.098)
3.period	Period = 3, 1776-1800				0.17***																												0.18**	0.17**	0.22***	0.22***	0.20**	0.19**	0.22	0.22***	0.19**	0.18**	0.17**	0.11	0.22*	0.19**
					(0.054)																												(0.077)	(0.078)	(0.080)	(0.080)	(0.080)	(0.083)	(0.13)	(0.080)	(0.082)	(0.077)	(0.078)	(0.075)	(0.13)	(0.073)
4.period	Period = 4, post-1800				0.28*																												0.43**	0.43**	0.56***	0.56***	0.36*	0.43**	0.56**	0.56***	0.40**	0.43**	0.43**	0.46***	0.56***	0.40**
					(0.17)																												(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.25)	(0.19)	(0.19)	(0.19)	(0.19)	(0.17)	(0.21)	(0.18)
YEARAF	(mean) YEARAF		0.0046***	-0.17																			0.0036**	0.0056**	0.0055**	0.0053**	0.0053**	0.0052**	0.0052**	0.0099***	0.0085***	0.0079***														
			(0.0017)	(0.24)																			(0.0018)	(0.0022)	(0.0024)	(0.0022)	(0.0024)	(0.0022)	(0.0022)	(0.0023)	(0.0022)	(0.0025)														
yearsq	yearsq			0.000048																																										
				(0.000067)																																										
war	(mean) war					0.094																	0.069	0.060	0.058	0.057	0.055	0.051	0.051	0.064	0.048	0.038	0.0053	0.0097	0.057	0.057	0.043	0.077	0.057	0.057	0.073	0.0053	0.0097	0.032	0.057	0.054
						(0.059)																	(0.060)	(0.062)	(0.063)	(0.063)	(0.063)	(0.064)	(0.064)	(0.061)	(0.059)	(0.062)	(0.066)	(0.066)	(0.069)	(0.069)	(0.067)	(0.070)	(0.064)	(0.069)	(0.071)	(0.066)	(0.066)	(0.063)	(0.061)	(0.066)
neutral	(mean) neutral					0.12**																	0.088	0.075	0.056	0.058	0.046	0.049	0.049	-0.0027	-0.00097	-0.011	-0.032	-0.028	-0.022	-0.022	0.0028	0.029	-0.022	-0.022	-0.0082	-0.032	-0.028	0.038	-0.022	0.046
						(0.056)																	(0.058)	(0.061)	(0.063)	(0.062)	(0.063)	(0.062)	(0.062)	(0.059)	(0.058)	(0.063)	(0.073)	(0.073)	(0.074)	(0.074)	(0.072)	(0.075)	(0.086)	(0.074)	(0.076)	(0.073)	(0.073)	(0.068)	(0.082)	(0.072)
pricemarkup	(mean) pricemarkup						0.0082																	0.040	0.031	0.036	0.029	0.035	0.035	0.049*	0.042*	0.045	0.013	0.014	-0.0049	-0.0049	0.00060		-0.0049	-0.0049	-0.0059	0.013	0.014	-0.018	-0.0049	
							(0.021)																	(0.026)	(0.028)	(0.028)	(0.027)	(0.028)	(0.028)	(0.026)	(0.026)	(0.027)	(0.025)	(0.025)	(0.026)	(0.026)	(0.025)		(0.025)	(0.026)	(0.026)	(0.025)	(0.025)	(0.024)	(0.023)	
captain_experience_d	Not the first voyage of the captain							0.0099																				0.031	0.031	0.025	0.027	0.036	0.036	0.035	0.024	0.024	0.024	0.042	0.024	0.024	0.041	0.036	0.035	0.015	0.024	
								(0.049)																				(0.049)	(0.049)	(0.048)	(0.046)	(0.050)	(0.050)	(0.051)	(0.053)	(0.053)	(0.052)	(0.055)	(0.049)	(0.053)	(0.054)	(0.050)	(0.051)	(0.048)	(0.047)	
captain_experience	(min) captain_experience								0.0041																		0.0042																			
									(0.0097)																		(0.0096)																			
captain_total_career	(mean) captain_total_career									0.0044																																				
										(0.0062)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.071															0.056		0.059	0.059	0.099	0.048	0.067	0.065	0.067	0.048	0.048	0.062	0.068	0.048	0.048	0.034	0.065	0.067	0.020	0.048	
											(0.067)															(0.066)		(0.066)	(0.066)	(0.063)	(0.062)	(0.068)	(0.069)	(0.069)	(0.072)	(0.072)	(0.070)	(0.072)	(0.067)	(0.072)	(0.074)	(0.069)	(0.069)	(0.066)	(0.064)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.0010													-0.00030		-0.00038																			
												(0.0011)													(0.0013)		(0.0013)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.0016																																	
													(0.0011)																																	
1.perspective	Perspective of source = 1, Captain													-0.50																																
														(0.37)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.20)																																
4.perspective	Perspective of source = 4, Owner													0.33																																
														(0.48)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.17***															0.052	0.066	0.091	0.084				0.70***					0.084				
															(0.054)															(0.057)	(0.055)	(0.068)	(0.070)				(0.19)					(0.070)				
MORTALITY	Enslaved person mortality rate															-1.26***			-1.33***												-1.22***	-1.27***	-1.28***	-1.30***	-1.29***	-1.29***	-1.37***		-1.29***	-1.29***	-1.19***	-1.28***	-1.30***	-1.29***	-1.29***	
																(0.29)			(0.30)												(0.28)	(0.30)	(0.30)	(0.30)	(0.31)	(0.31)	(0.30)		(0.27)	(0.31)	(0.32)	(0.30)	(0.30)	(0.28)	(0.26)	
crowd	(mean) crowd																0.077	0.077	0.070													-0.022	-0.044	0.0077	-0.010	-0.010	-0.13		-0.010	-0.010	0.096*	-0.044	0.0077	-0.027	-0.010	
																	(0.047)	(0.047)	(0.046)													(0.059)	(0.059)	(0.053)	(0.055)	(0.055)	(0.091)		(0.086)	(0.055)	(0.050)	(0.059)	(0.053)	(0.051)	(0.064)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.050															-0.082	-0.082	-0.63***	-0.13	-0.082	-0.082	-0.18***			-0.0081	-0.082	-0.13***
																				(0.045)															(0.059)	(0.059)	(0.13)	(0.14)	(0.13)	(0.059)	(0.055)			(0.055)	(0.11)	(0.049)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.064***									-0.085***	-0.086***	-0.085***	-0.088***	-0.094***	-0.10***	-0.10***	0.062		-0.10	-0.10***		-0.088***	-0.094***	-0.095***	-0.10**	
																					(0.016)									(0.018)	(0.017)	(0.020)	(0.021)	(0.020)	(0.025)	(0.025)	(0.044)		(0.081)	(0.025)		(0.021)	(0.020)	(0.023)	(0.049)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.0026																								
																						(0.060)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.046																								
																						(0.070)																								
TONMOD	(mean) TONMOD																																	0.00042			0.00026	0.00032					0.00042			
																																		(0.00037)			(0.00064)	(0.00076)					(0.00037)			
totalnetexpperton	totalnetexpperton																																					-0.000048								
																																						(0.000043)								
Constant	Constant	0.16***	-7.95***	142	0.11***	0.11***	0.13	0.14***	0.14***	0.12**	0.093	0.14***	0.11***	-0.052	-0.77**	0.34***	0.033	0.033	0.23***	0.82	0.30***	0.16***	-6.18*	-9.88**	-9.67**	-9.41**	-9.45**	-9.22**	-9.22**	-17.8***	-15.2***	-14.3***	-0.045	0.27	1.55**	1.55**	4.69***	1.77	1.55	1.55**	2.41***	-0.045	0.27	0.67	1.55	1.84***
		(0.030)	(3.00)	(211)	(0.033)	(0.037)	(0.080)	(0.047)	(0.039)	(0.051)	(0.063)	(0.033)	(0.040)	(0.20)	(0.30)	(0.050)	(0.079)	(0.079)	(0.087)	(0.59)	(0.045)	(0.054)	(3.16)	(3.90)	(4.33)	(4.02)	(4.32)	(4.00)	(4.00)	(4.04)	(3.96)	(4.37)	(0.39)	(0.19)	(0.75)	(0.75)	(1.00)	(1.60)	(1.52)	(0.75)	(0.74)	(0.39)	(0.19)	(0.69)	(1.32)	(0.63)
																																														
Observations		387	387	387	387	387	369	371	371	371	364	364	364	387	364	363	322	322	317	368	364	329	387	369	351	351	350	350	350	339	338	315	315	315	298	298	298	305	298	298	298	315	315	297	298	368
R-squared		0.119	0.136	0.137	0.148	0.134	0.020	0.120	0.120	0.121	0.088	0.087	0.090	0.134	0.155	0.175	0.024	0.024	0.081	0.126	0.170	0.058	0.143	0.059	0.047	0.049	0.045	0.048	0.048	0.142	0.185	0.176	0.170	0.170	0.190	0.190	0.252	0.102	0.190	0.190	0.142	0.170	0.170	0.168	0.190	0.171
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
